index,user_id,movie_id,tag,timestamp
0,2,60756,funny,Sat Oct 24 20:29:54 2015
1,2,60756,Highly quotable,Sat Oct 24 20:29:56 2015
2,2,60756,will ferrell,Sat Oct 24 20:29:52 2015
3,2,89774,Boxing story,Sat Oct 24 20:33:27 2015
4,2,89774,MMA,Sat Oct 24 20:33:20 2015
5,2,89774,Tom Hardy,Sat Oct 24 20:33:25 2015
6,2,106782,drugs,Sat Oct 24 20:30:54 2015
7,2,106782,Leonardo DiCaprio,Sat Oct 24 20:30:51 2015
8,2,106782,Martin Scorsese,Sat Oct 24 20:30:56 2015
9,7,48516,way too long,Thu Jan 25 01:08:45 2007
10,18,431,Al Pacino,Sun May  1 22:39:25 2016
11,18,431,gangster,Sun May  1 22:39:09 2016
12,18,431,mafia,Sun May  1 22:39:15 2016
13,18,1221,Al Pacino,Tue Apr 26 20:35:06 2016
14,18,1221,Mafia,Tue Apr 26 20:35:03 2016
15,18,5995,holocaust,Wed Feb 17 18:57:52 2016
16,18,5995,true story,Wed Feb 17 18:57:59 2016
17,18,44665,twist ending,Wed Mar  2 19:51:23 2016
18,18,52604,Anthony Hopkins,Thu Mar 10 22:58:16 2016
19,18,52604,courtroom drama,Thu Mar 10 22:58:31 2016
20,18,52604,twist ending,Thu Mar 10 22:58:02 2016
21,18,88094,britpop,Tue Mar  8 13:41:40 2016
22,18,88094,indie record label,Tue Mar  8 13:43:12 2016
23,18,88094,music,Tue Mar  8 13:43:29 2016
24,18,144210,dumpster diving,Tue Feb  9 23:26:21 2016
25,18,144210,Sustainability,Tue Feb  9 23:27:32 2016
26,21,1569,romantic comedy,Sun Dec 28 22:23:33 2014
27,21,1569,wedding,Sun Dec 28 22:23:39 2014
28,21,118985,painter,Sun Dec 28 22:24:37 2014
29,21,119141,bloody,Sun Dec 28 19:12:42 2014
30,49,109487,black hole,Tue Apr 25 05:08:26 2017
31,49,109487,sci-fi,Tue Apr 25 05:08:52 2017
32,49,109487,time-travel,Tue Apr 25 05:09:16 2017
33,62,2,fantasy,Tue Jun 12 23:52:09 2018
34,62,2,magic board game,Tue Jun 12 23:52:12 2018
35,62,2,Robin Williams,Tue Jun 12 23:51:47 2018
36,62,110,beautiful scenery,Mon Jun  4 23:49:01 2018
37,62,110,epic,Mon Jun  4 23:48:52 2018
38,62,110,historical,Mon Jun  4 23:48:43 2018
39,62,110,inspirational,Mon Jun  4 23:48:47 2018
40,62,110,Medieval,Mon Jun  4 23:48:48 2018
41,62,110,mel gibson,Mon Jun  4 23:48:41 2018
42,62,110,Oscar (Best Cinematography),Mon Jun  4 23:48:59 2018
43,62,110,revenge,Mon Jun  4 23:48:51 2018
44,62,110,sword fight,Mon Jun  4 23:48:55 2018
45,62,410,black comedy,Sun May  6 20:56:47 2018
46,62,410,Christina Ricci,Sun May  6 20:58:05 2018
47,62,410,Christopher Lloyd,Sun May  6 20:57:02 2018
48,62,410,dark comedy,Sun May  6 20:56:50 2018
49,62,410,family,Sun May  6 20:58:28 2018
50,62,410,gothic,Sun May  6 20:56:49 2018
51,62,2023,Al Pacino,Sun May  6 20:58:48 2018
52,62,2023,Andy Garcia,Sun May  6 20:59:28 2018
53,62,2023,Classic,Sun May  6 20:59:12 2018
54,62,2023,Francis Ford Coppola,Sun May  6 20:59:12 2018
55,62,2023,mafia,Sun May  6 20:58:53 2018
56,62,2124,black comedy,Sun May  6 21:00:47 2018
57,62,2124,Christina Ricci,Sun May  6 21:01:07 2018
58,62,2124,Christopher Lloyd,Sun May  6 21:00:59 2018
59,62,2124,Family,Sun May  6 21:00:55 2018
60,62,2124,gothic,Sun May  6 21:00:49 2018
61,62,2124,quirky,Sun May  6 21:00:46 2018
62,62,2953,family,Sun May  6 21:01:23 2018
63,62,2953,funny,Sun May  6 21:01:25 2018
64,62,2953,Macaulay Culkin,Sun May  6 21:01:30 2018
65,62,2953,sequel,Sun May  6 21:01:27 2018
66,62,3114,animation,Sun May  6 21:01:43 2018
67,62,3114,Disney,Sun May  6 21:01:42 2018
68,62,3114,funny,Sun May  6 21:01:53 2018
69,62,3114,original,Sun May  6 21:01:57 2018
70,62,3114,Pixar,Sun May  6 21:01:41 2018
71,62,3114,sequel,Sun May  6 21:01:50 2018
72,62,3114,Tom Hanks,Sun May  6 21:02:05 2018
73,62,3578,ancient Rome,Mon Jun  4 23:48:24 2018
74,62,3578,Epic,Mon Jun  4 23:47:49 2018
75,62,3578,history,Mon Jun  4 23:47:47 2018
76,62,3578,imdb top 250,Mon Jun  4 23:48:18 2018
77,62,3578,revenge,Mon Jun  4 23:48:16 2018
78,62,3578,Rome,Mon Jun  4 23:47:43 2018
79,62,3578,Russell Crowe,Mon Jun  4 23:47:45 2018
80,62,4223,Ed Harris,Sun Jun  3 12:21:09 2018
81,62,4223,Jude Law,Sun Jun  3 12:20:54 2018
82,62,4223,Rachel Weisz,Sun Jun  3 12:21:13 2018
83,62,4223,sniper,Sun Jun  3 12:20:52 2018
84,62,4223,World War II,Sun Jun  3 12:21:17 2018
85,62,5388,Al Pacino,Fri Jun 29 23:20:09 2018
86,62,5388,atmospheric,Fri Jun 29 23:22:39 2018
87,62,5388,Hilary Swank,Fri Jun 29 23:22:32 2018
88,62,5388,Robin Williams,Fri Jun 29 23:20:11 2018
89,62,6058,sequel,Sat May  5 22:17:33 2018
90,62,6058,violent,Sat May  5 22:17:31 2018
91,62,6534,dogs,Sat May  5 22:01:36 2018
92,62,6534,Eric Bana,Sat May  5 22:01:26 2018
93,62,6534,mad scientist,Sat May  5 22:01:38 2018
94,62,6534,marvel,Sat May  5 22:01:40 2018
95,62,6541,captain nemo,Sat May  5 22:00:54 2018
96,62,6541,comic book,Sat May  5 22:00:28 2018
97,62,6541,gothic,Sat May  5 22:00:56 2018
98,62,6541,Peta Wilson,Sat May  5 22:00:40 2018
99,62,6541,Sean Connery,Sat May  5 22:00:26 2018
100,62,6541,superhero,Sat May  5 22:00:51 2018
101,62,6564,adventure,Sat May  5 22:07:19 2018
102,62,6564,Angelina Jolie,Sat May  5 22:07:12 2018
103,62,6564,heroine in tight suit,Sat May  5 22:07:21 2018
104,62,7153,Adventure,Mon Jun  4 23:49:18 2018
105,62,7153,ensemble cast,Mon Jun  4 23:49:38 2018
106,62,7153,fantasy,Mon Jun  4 23:49:16 2018
107,62,7153,fantasy world,Mon Jun  4 23:49:31 2018
108,62,7153,great soundtrack,Mon Jun  4 23:49:35 2018
109,62,7153,lord of the rings,Mon Jun  4 23:49:41 2018
110,62,7153,scenic,Mon Jun  4 23:49:40 2018
111,62,7153,stylized,Mon Jun  4 23:49:37 2018
112,62,7153,Tolkien,Mon Jun  4 23:49:21 2018
113,62,8641,hilarious,Sun May 13 23:05:38 2018
114,62,8641,Steve Carell,Sun May 13 23:05:56 2018
115,62,8641,Will Ferrell,Sun May 13 23:05:35 2018
116,62,27660,animation,Sat May  5 22:08:10 2018
117,62,27660,anime,Sat May  5 22:08:08 2018
118,62,27660,cyberpunk,Sat May  5 22:08:06 2018
119,62,27660,dark,Sat May  5 22:08:20 2018
120,62,27660,Matrix,Sat May  5 22:08:13 2018
121,62,27660,sci-fi,Sat May  5 22:08:11 2018
122,62,27706,dark comedy,Sun May 13 22:56:38 2018
123,62,27706,Jim Carrey,Sun May 13 22:56:15 2018
124,62,27706,meryl streep,Sun May 13 22:56:20 2018
125,62,27706,quirky,Sun May 13 22:55:53 2018
126,62,27706,stylized,Sun May 13 22:56:41 2018
127,62,27808,Adam Sandler,Sat May  5 22:15:00 2018
128,62,27808,family,Sat May  5 22:15:19 2018
129,62,27808,sweet,Sat May  5 22:15:22 2018
130,62,27831,British gangster,Fri Jul 27 21:28:24 2018
131,62,27831,confusing,Fri Jul 27 21:29:24 2018
132,62,27831,daniel craig,Fri Jul 27 21:28:25 2018
133,62,27831,Exquisite plotting.,Fri Jul 27 21:29:15 2018
134,62,27831,organized crime,Fri Jul 27 21:29:29 2018
135,62,27831,stylish,Fri Jul 27 21:29:16 2018
136,62,27831,Tom Hardy,Fri Jul 27 21:29:19 2018
137,62,31658,anime,Wed May  9 13:30:41 2018
138,62,31658,fantasy world,Wed May  9 13:30:51 2018
139,62,31658,Hayao Miyazaki,Wed May  9 13:30:46 2018
140,62,31658,Studio Ghibli,Wed May  9 13:30:44 2018
141,62,33162,David Thewlis,Sat May  5 22:10:05 2018
142,62,33162,Eva Green,Sat May  5 22:09:10 2018
143,62,33162,Liam Neeson,Sat May  5 22:09:37 2018
144,62,33162,Orlando Bloom,Sat May  5 22:08:31 2018
145,62,34150,Chris Evans,Sat May  5 22:02:21 2018
146,62,34150,comic book,Sat May  5 22:00:03 2018
147,62,34150,heroine in tight suit,Sat May  5 22:02:18 2018
148,62,34150,Jessica Alba,Sat May  5 22:02:07 2018
149,62,34150,sexy female scientist,Sat May  5 22:02:24 2018
150,62,34150,superhero,Sat May  5 21:59:37 2018
151,62,37729,gothic,Fri Jun 29 23:15:27 2018
152,62,37729,helena bonham carter,Fri Jun 29 23:15:34 2018
153,62,37729,Johnny Depp,Fri Jun 29 23:15:29 2018
154,62,37729,Tim Burton,Fri Jun 29 23:15:26 2018
155,62,37729,visually appealing,Fri Jun 29 23:15:41 2018
156,62,38061,black comedy,Fri Jul 27 21:29:40 2018
157,62,38061,clever,Fri Jul 27 21:30:03 2018
158,62,38061,fast-paced dialogue,Fri Jul 27 21:30:06 2018
159,62,38061,good dialogue,Fri Jul 27 21:30:28 2018
160,62,38061,Robert Downey Jr.,Fri Jul 27 21:30:08 2018
161,62,38061,witty,Fri Jul 27 21:30:02 2018
162,62,45447,adventure,Sun May  6 21:04:24 2018
163,62,45447,Audrey Tautou,Sun May  6 21:04:35 2018
164,62,45447,conspiracy theory,Sun May  6 21:04:22 2018
165,62,45447,Mystery,Sun May  6 21:04:41 2018
166,62,45447,Paris,Sun May  6 21:04:39 2018
