,ml_user_id,ml_movie_id,tag,timestamp
0,2,60756,funny,10/24/2015 20:29
1,2,60756,Highly quotable,10/24/2015 20:29
2,2,60756,will ferrell,10/24/2015 20:29
3,2,89774,Boxing story,10/24/2015 20:33
4,2,89774,MMA,10/24/2015 20:33
5,2,89774,Tom Hardy,10/24/2015 20:33
6,2,106782,drugs,10/24/2015 20:30
7,2,106782,Leonardo DiCaprio,10/24/2015 20:30
8,2,106782,Martin Scorsese,10/24/2015 20:30
9,7,48516,way too long,1/25/2007 1:08
10,18,431,Al Pacino,5/1/2016 22:39
11,18,431,gangster,5/1/2016 22:39
12,18,431,mafia,5/1/2016 22:39
13,18,1221,Al Pacino,4/26/2016 20:35
14,18,1221,Mafia,4/26/2016 20:35
15,18,5995,holocaust,2/17/2016 18:57
16,18,5995,true story,2/17/2016 18:57
17,18,44665,twist ending,3/2/2016 19:51
18,18,52604,Anthony Hopkins,3/10/2016 22:58
19,18,52604,courtroom drama,3/10/2016 22:58
20,18,52604,twist ending,3/10/2016 22:58
21,18,88094,britpop,3/8/2016 13:41
22,18,88094,indie record label,3/8/2016 13:43
23,18,88094,music,3/8/2016 13:43
24,18,144210,dumpster diving,2/9/2016 23:26
25,18,144210,Sustainability,2/9/2016 23:27
26,21,1569,romantic comedy,12/28/2014 22:23
27,21,1569,wedding,12/28/2014 22:23
28,21,118985,painter,12/28/2014 22:24
29,21,119141,bloody,12/28/2014 19:12
30,49,109487,black hole,4/25/2017 5:08
31,49,109487,sci-fi,4/25/2017 5:08
32,49,109487,time-travel,4/25/2017 5:09
33,62,2,fantasy,6/12/2018 23:52
34,62,2,magic board game,6/12/2018 23:52
35,62,2,Robin Williams,6/12/2018 23:51
36,62,110,beautiful scenery,6/4/2018 23:49
37,62,110,epic,6/4/2018 23:48
38,62,110,historical,6/4/2018 23:48
39,62,110,inspirational,6/4/2018 23:48
40,62,110,Medieval,6/4/2018 23:48
41,62,110,mel gibson,6/4/2018 23:48
42,62,110,Oscar (Best Cinematography),6/4/2018 23:48
43,62,110,revenge,6/4/2018 23:48
44,62,110,sword fight,6/4/2018 23:48
45,62,410,black comedy,5/6/2018 20:56
46,62,410,Christina Ricci,5/6/2018 20:58
47,62,410,Christopher Lloyd,5/6/2018 20:57
